molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,inactive,580.6820000000004,2.6858200000000014,3.0,8.0,3.0604807473813813
CHEMBL393608,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,inactive,547.6530000000002,1.3986200000000035,4.0,8.0,3.6989700043360187
CHEMBL238216,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,inactive,581.6700000000001,1.5952200000000034,4.0,8.0,3.5228787452803374
CHEMBL235873,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,inactive,659.7810000000001,0.870600000000006,6.0,9.0,4.823908740944319
CHEMBL397154,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,inactive,625.764,0.6740000000000061,6.0,9.0,5.0
CHEMBL238217,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,inactive,636.7870000000001,2.0748000000000024,5.0,9.0,4.096910013008056
CHEMBL196635,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,inactive,558.6760000000003,2.7994200000000014,3.0,8.0,3.0969100130080562
CHEMBL492571,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,intermediate,297.31,3.007900000000002,3.0,4.0,5.267606240177032
CHEMBL522710,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,inactive,331.755,3.6613000000000016,3.0,4.0,4.958607314841775
CHEMBL492771,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,inactive,332.73900000000003,3.6282000000000023,2.0,4.0,4.866461091629782
CHEMBL492771,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,inactive,332.73900000000003,3.6282000000000023,2.0,4.0,4.61261017366127
CHEMBL492772,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccc(Cl)cc1,inactive,332.73900000000003,3.6282000000000023,2.0,4.0,4.542118103266008
CHEMBL492768,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccccc2)cc1,inactive,298.294,2.974800000000002,2.0,4.0,4.399027104313252
CHEMBL492768,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccccc2)cc1,inactive,298.294,2.974800000000002,2.0,4.0,4.384049948343599
CHEMBL492769,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccc(Cl)cc2)cc1,inactive,332.73900000000003,3.6282000000000023,2.0,4.0,4.301029995663981
CHEMBL492770,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccccc2)c1,inactive,298.294,2.974800000000002,2.0,4.0,4.301029995663981
CHEMBL499444,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccccc1,inactive,298.294,2.974800000000002,2.0,4.0,4.301029995663981
CHEMBL492772,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccc(Cl)cc1,inactive,332.73900000000003,3.6282000000000023,2.0,4.0,4.301029995663981
CHEMBL492571,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,inactive,297.31,3.007900000000002,3.0,4.0,4.301029995663981
CHEMBL522710,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,inactive,331.755,3.6613000000000016,3.0,4.0,4.301029995663981
CHEMBL492769,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccc(Cl)cc2)cc1,inactive,332.73900000000003,3.6282000000000023,2.0,4.0,4.301029995663981
CHEMBL492770,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccccc2)c1,inactive,298.294,2.974800000000002,2.0,4.0,4.301029995663981
CHEMBL499444,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccccc1,inactive,298.294,2.974800000000002,2.0,4.0,4.301029995663981
CHEMBL221366,O=C(Oc1cccnc1)c1cccs1,active,205.238,2.3623000000000003,0.0,4.0,6.301029995663981
CHEMBL541163,CCN1/C(=C\C=C\c2sc3ccc(-c4nc5ccccc5s4)cc3[n+]2CC)Sc2ccc(-c3nc4ccccc4s3)cc21.[Cl-],intermediate,667.3500000000003,7.252900000000007,0.0,7.0,5.6020599913279625
CHEMBL540403,CCN1C(c2ccccc2)=C(c2ccccc2)S/C1=C/C=C/c1sc2c3ccccc3ccc2[n+]1CC.[Cl-],intermediate,553.1960000000003,5.815200000000006,0.0,3.0,5.42021640338319
CHEMBL518593,C(\C1=C2Sc3ccccc3N2CC1)=C1/CC[n+]2c1sc1ccccc12,intermediate,361.515,5.203500000000004,0.0,3.0,4.978810700930062
CHEMBL478119,CCN1/C(=C\C=C\C2=C/C(=C/c3sc4ccccc4[n+]3CC)CC(C)C2)Sc2ccccc21,inactive,471.71500000000026,7.978200000000007,0.0,3.0,5.698970004336019
CHEMBL558828,CCC(=C\c1sc2cc(C)c(C)cc2[n+]1CC)/C=C1/Sc2cc(/C=C/c3ccccc3)ccc2N1CC.[Cl-],intermediate,559.2440000000001,6.266940000000009,0.0,3.0,5.180456064458132
CHEMBL478987,CCN1/C(=C\C=c2/s/c(=C\c3sc4ccccc4[n+]3CC)n(CC)c2=O)Sc2ccccc21,intermediate,492.71500000000026,4.534700000000004,0.0,6.0,5.0
CHEMBL479172,CCC(=C\c1sc2c3ccccc3ccc2[n+]1CC)/C=C1/Sc2cc(C)c(C)cc2N1CC,inactive,471.71500000000026,8.245740000000007,0.0,3.0,5.267606240177032
CHEMBL515787,CCN1/C(=C\C(=C/c2sc3ccccc3[n+]2CCCS(=O)(=O)[O-])OC)Sc2ccc(OC)cc21,intermediate,518.6820000000002,4.593600000000005,0.0,8.0,5.136677139879544
CHEMBL549646,O=c1cc(CNCc2ccc(Cl)cc2)oc2ccc(O)c(O)c12,intermediate,331.7550000000001,3.147400000000002,3.0,5.0,4.301029995663981
